Time,Power
03-15-23:40:03,6
03-15-23:40:24,6
03-15-23:40:43,6
03-15-23:41:04,6
03-15-23:41:24,6
03-15-23:41:44,6
03-15-23:42:04,6
03-15-23:42:24,6
03-15-23:42:44,6
03-15-23:43:04,6
03-15-23:43:24,6
03-15-23:43:44,6
03-15-23:44:04,6
03-15-23:44:24,6
03-15-23:44:44,6
03-15-23:45:04,6
03-15-23:45:24,6
03-15-23:45:44,6
03-15-23:46:04,6
03-15-23:46:24,6
03-15-23:46:44,6
03-15-23:47:04,6
03-15-23:47:24,6
03-15-23:47:44,6
03-15-23:48:04,6
03-15-23:48:24,6
03-15-23:48:44,6
03-15-23:49:04,6
03-15-23:49:24,6
03-15-23:49:44,6
03-15-23:50:04,6
03-15-23:50:24,6
03-15-23:50:44,6
03-15-23:51:04,6
03-15-23:51:25,6
03-15-23:51:44,6
03-15-23:52:04,6
03-15-23:52:24,6
03-15-23:52:44,6
03-15-23:53:04,6
03-15-23:53:24,6
03-15-23:53:44,6
03-15-23:54:04,6
03-15-23:54:24,6
03-15-23:54:45,6
03-15-23:55:05,6
03-15-23:55:25,6
03-15-23:55:45,6
03-15-23:56:05,6
03-15-23:56:25,6
03-15-23:56:45,6
03-15-23:57:05,6
03-15-23:57:25,6
03-15-23:57:46,6
03-15-23:58:05,6
03-15-23:58:25,6
03-15-23:58:45,6
03-15-23:59:05,6
03-15-23:59:25,6
03-15-23:59:45,6
03-16-00:00:05,6
03-16-00:00:26,6
03-16-00:00:45,6
03-16-00:01:06,6
03-16-00:01:25,6
03-16-00:01:46,6
03-16-00:02:05,6
03-16-00:02:26,6
03-16-00:02:45,6
03-16-00:03:05,6
03-16-00:03:25,6
03-16-00:03:45,6
03-16-00:04:05,6
03-16-00:04:25,6
03-16-00:04:45,6
03-16-00:05:05,6
03-16-00:05:25,6
03-16-00:05:45,6
03-16-00:06:05,6
03-16-00:06:25,6
03-16-00:06:45,6
03-16-00:07:05,6
03-16-00:07:25,6
03-16-00:07:45,6
03-16-00:08:05,6
03-16-00:08:25,6
03-16-00:08:45,6
03-16-00:09:05,6
03-16-00:09:25,6
03-16-00:09:45,6
03-16-00:10:05,6
03-16-00:10:25,6
03-16-00:10:45,6
03-16-00:11:06,6
03-16-00:11:25,6
03-16-00:11:45,6
03-16-00:12:06,6
03-16-00:12:26,6
03-16-00:12:46,6
03-16-00:13:05,6
03-16-00:13:26,6
03-16-00:13:46,6
03-16-00:14:06,6
03-16-00:14:26,6
03-16-00:14:46,6
03-16-00:15:06,6
03-16-00:15:26,6
03-16-00:15:46,6
03-16-00:16:06,6
03-16-00:16:26,6
03-16-00:16:46,6
03-16-00:17:06,6
03-16-00:17:26,6
03-16-00:17:46,6
03-16-00:18:06,6
03-16-00:18:26,6
03-16-00:18:49,6
03-16-00:19:06,6
03-16-00:19:28,6
03-16-00:19:49,6
03-16-00:20:06,6
03-16-00:20:26,6
03-16-00:20:46,6
03-16-00:21:06,6
03-16-00:21:26,6
03-16-00:21:46,6
03-16-00:22:06,6
03-16-00:22:28,6
03-16-00:22:46,6
03-16-00:23:06,6
03-16-00:23:26,6
03-16-00:23:46,6
03-16-00:24:09,6
03-16-00:24:26,6
03-16-00:24:46,6
03-16-00:25:06,6
03-16-00:25:26,6
03-16-00:25:46,6
03-16-00:26:06,6
03-16-00:26:26,6
03-16-00:26:46,6
03-16-00:27:06,6.25
03-16-00:27:26,6
03-16-00:27:46,6
03-16-00:28:06,6
03-16-00:28:26,6
03-16-00:28:46,6
03-16-00:29:06,6
03-16-00:29:26,6
03-16-00:29:46,6
03-16-00:30:06,6
03-16-00:30:26,6
03-16-00:30:46,6
03-16-00:31:06,6
03-16-00:31:26,6
03-16-00:31:47,6
03-16-00:32:06,6.25
03-16-00:32:27,6
03-16-00:32:46,6
03-16-00:33:07,6
03-16-00:33:27,6
03-16-00:33:47,6
03-16-00:34:07,6
03-16-00:34:27,6
03-16-00:34:47,6
03-16-00:35:07,6
03-16-00:35:27,6
03-16-00:35:47,6
03-16-00:36:07,6
03-16-00:36:27,6
03-16-00:36:47,6
03-16-00:37:07,6
03-16-00:37:27,6
03-16-00:37:47,6
03-16-00:38:07,6
03-16-00:38:27,6
03-16-00:38:47,6
03-16-00:39:07,6
03-16-00:39:27,6
03-16-00:39:47,6
03-16-00:40:07,6
03-16-00:40:27,6
03-16-00:40:47,6
03-16-00:41:07,6
03-16-00:41:27,6
03-16-00:41:47,6
03-16-00:42:07,6
03-16-00:42:27,6
03-16-00:42:47,6
03-16-00:43:07,6
03-16-00:43:27,6
03-16-00:43:47,6
03-16-00:44:07,6
03-16-00:44:27,6
03-16-00:44:47,6
03-16-00:45:07,6
03-16-00:45:27,6
03-16-00:45:47,6
03-16-00:46:07,6
03-16-00:46:27,6
03-16-00:46:47,6
03-16-00:47:07,6
03-16-00:47:27,6
03-16-00:47:47,6
03-16-00:48:07,6
03-16-00:48:27,6
03-16-00:48:48,6
03-16-00:49:07,6
03-16-00:49:27,6
03-16-00:49:47,6
03-16-00:50:08,6
03-16-00:50:27,6
03-16-00:50:48,6
03-16-00:51:08,6
03-16-00:51:28,6
03-16-00:51:48,6
03-16-00:52:08,6
03-16-00:52:28,6
03-16-00:52:48,6
03-16-00:53:08,6
03-16-00:53:28,6
03-16-00:53:48,6
03-16-00:54:08,6
03-16-00:54:28,6
03-16-00:54:48,6
03-16-00:55:08,6
03-16-00:55:28,6
03-16-00:55:48,6
03-16-00:56:08,6
03-16-00:56:28,6
03-16-00:56:48,6
03-16-00:57:08,6
03-16-00:57:28,6
03-16-00:57:48,6
03-16-00:58:08,6
03-16-00:58:28,6
03-16-00:58:48,6
03-16-00:59:08,6
