Time,Power
03-15-23:00:01,95.5
03-15-23:00:21,95
03-15-23:00:41,95
03-15-23:01:01,95.75
03-15-23:01:21,95.25
03-15-23:01:41,95
03-15-23:02:02,95.25
03-15-23:02:21,95
03-15-23:02:41,95
03-15-23:03:02,95
03-15-23:03:22,95
03-15-23:03:42,95.25
03-15-23:04:02,95.25
03-15-23:04:22,95
03-15-23:04:42,95.25
03-15-23:05:02,95.5
03-15-23:05:22,95
03-15-23:05:42,94.75
03-15-23:06:02,94.75
03-15-23:06:22,94.25
03-15-23:06:42,94.25
03-15-23:07:02,94.25
03-15-23:07:22,94.25
03-15-23:07:42,94.25
03-15-23:08:02,94.25
03-15-23:08:22,94.25
03-15-23:08:42,94.25
03-15-23:09:02,94.25
03-15-23:09:22,94
03-15-23:09:42,94.5
03-15-23:10:02,94.75
03-15-23:10:22,94
03-15-23:10:42,94.25
03-15-23:11:02,94.25
03-15-23:11:22,95
03-15-23:11:42,95
03-15-23:12:02,95
03-15-23:12:22,94.75
03-15-23:12:42,94.5
03-15-23:13:02,95.25
03-15-23:13:22,96
03-15-23:13:42,95.75
03-15-23:14:02,95
03-15-23:14:22,96
03-15-23:14:42,96.5
03-15-23:15:02,97
03-15-23:15:22,97.25
03-15-23:15:42,97.75
03-15-23:16:02,97
03-15-23:16:22,97.25
03-15-23:16:42,97.5
03-15-23:17:02,97.25
03-15-23:17:22,97
03-15-23:17:42,97.5
03-15-23:18:02,96.5
03-15-23:18:22,96.25
03-15-23:18:42,96.5
03-15-23:19:02,95.75
03-15-23:19:22,95.25
03-15-23:19:42,96
03-15-23:20:02,97
03-15-23:20:22,97
03-15-23:20:42,96.75
03-15-23:21:03,95.75
03-15-23:21:22,95.25
03-15-23:21:42,95
03-15-23:22:03,95.25
03-15-23:22:23,95
03-15-23:22:42,95
03-15-23:23:03,95.25
03-15-23:23:24,95.25
03-15-23:23:43,95.25
03-15-23:24:03,95
03-15-23:24:23,95.25
03-15-23:24:43,95
03-15-23:25:03,95
03-15-23:25:23,95
03-15-23:25:43,95
03-15-23:26:03,95.25
03-15-23:26:23,95
03-15-23:26:43,95
03-15-23:27:03,95.25
03-15-23:27:24,95
03-15-23:27:43,95.5
03-15-23:28:03,94.75
03-15-23:28:23,94.25
03-15-23:28:43,94
03-15-23:29:03,94.5
03-15-23:29:23,94.25
03-15-23:29:43,94.25
03-15-23:30:03,94.25
03-15-23:30:23,94.5
03-15-23:30:43,94.5
03-15-23:31:05,94.25
03-15-23:31:23,94.25
03-15-23:31:43,94.5
03-15-23:32:03,94.25
03-15-23:32:23,94.25
03-15-23:32:43,94.75
03-15-23:33:03,94.25
03-15-23:33:23,94.75
03-15-23:33:43,94.5
03-15-23:34:05,94
03-15-23:34:23,94.5
03-15-23:34:43,94.5
03-15-23:35:03,94.5
03-15-23:35:23,94.5
03-15-23:35:43,94.5
03-15-23:36:03,94.75
03-15-23:36:23,94
03-15-23:36:43,94.75
03-15-23:37:03,94.25
03-15-23:37:23,94.25
03-15-23:37:43,94.25
03-15-23:38:03,94.25
03-15-23:38:23,94.25
03-15-23:38:43,94.5
03-15-23:39:03,94.25
03-15-23:39:24,94.25
03-15-23:39:43,94.25
03-15-23:40:03,94.25
03-15-23:40:24,94.25
03-15-23:40:43,94.25
03-15-23:41:04,94.75
03-15-23:41:24,94.5
03-15-23:41:43,94
03-15-23:42:04,94
03-15-23:42:24,94.25
03-15-23:42:44,94.25
03-15-23:43:04,94.25
03-15-23:43:24,94.25
03-15-23:43:44,94.25
03-15-23:44:04,94.25
03-15-23:44:24,94.5
03-15-23:44:44,94.25
03-15-23:45:04,94.5
03-15-23:45:24,94.25
03-15-23:45:44,94
03-15-23:46:04,94.5
03-15-23:46:24,94.25
03-15-23:46:44,94.25
03-15-23:47:04,94.25
03-15-23:47:24,94.25
03-15-23:47:44,94.75
03-15-23:48:04,94.75
03-15-23:48:24,95
03-15-23:48:44,94.75
03-15-23:49:04,94.5
03-15-23:49:24,94.25
03-15-23:49:44,94
03-15-23:50:04,94.25
03-15-23:50:24,94
03-15-23:50:44,94
03-15-23:51:04,94.5
03-15-23:51:25,95
03-15-23:51:44,94.75
03-15-23:52:04,94.25
03-15-23:52:24,94.25
03-15-23:52:44,94.5
03-15-23:53:04,94.5
03-15-23:53:24,94.5
03-15-23:53:44,94.25
03-15-23:54:04,94
03-15-23:54:24,94.25
